,district,elevation,Area,lat,lng,Year,Disaster Internal Displacements,Hazard Type,total_precip,drought_index,total solar,heavy rain,storm days,extreme temp,severerisk,low_pressure_days,pressure_anomaly,Country / Territory,population,Count of Disasters,pdensity,distancetowater,distancetowater1,distancetowater2,Country Code,gdp
0,manicaland,1029,35634986336.0,-19.0,32.5,2014,8,Flood,1381.4,167.0,8296.1,150.0,0.0,10.0,0.0,0.0,0.0,Zimbabwe,2238390.89190733,7,62.81441701146412,36770.55407,56880.63391,57587.25944,ZWE,19495519600.0
1,manicaland,1029,35634986336.0,-19.0,32.5,2014,16,Wildfire,1381.4,167.0,8296.1,150.0,0.0,10.0,0.0,0.0,0.0,Zimbabwe,2238390.89190733,7,62.81441701146412,36770.55407,56880.63391,57587.25944,ZWE,19495519600.0
2,manicaland,1029,35634986336.0,-19.0,32.5,2014,60,Storm,1381.4,167.0,8296.1,150.0,0.0,10.0,0.0,0.0,0.0,Zimbabwe,2238390.89190733,7,62.81441701146412,36770.55407,56880.63391,57587.25944,ZWE,19495519600.0
3,manicaland,1029,35634986336.0,-19.0,32.5,2014,60,Storm,1381.4,167.0,8296.1,150.0,0.0,10.0,0.0,0.0,0.0,Zimbabwe,2238390.89190733,7,62.81441701146412,36770.55407,56880.63391,57587.25944,ZWE,19495519600.0
4,manicaland,1029,35634986336.0,-19.0,32.5,2014,64,Storm,1381.4,167.0,8296.1,150.0,0.0,10.0,0.0,0.0,0.0,Zimbabwe,2238390.89190733,7,62.81441701146412,36770.55407,56880.63391,57587.25944,ZWE,19495519600.0
5,manicaland,1029,35634986336.0,-19.0,32.5,2014,90,Flood,1381.4,167.0,8296.1,150.0,0.0,10.0,0.0,0.0,0.0,Zimbabwe,2238390.89190733,7,62.81441701146412,36770.55407,56880.63391,57587.25944,ZWE,19495519600.0
6,manicaland,1029,35634986336.0,-19.0,32.5,2014,92,Storm,1381.4,167.0,8296.1,150.0,0.0,10.0,0.0,0.0,0.0,Zimbabwe,2238390.89190733,7,62.81441701146412,36770.55407,56880.63391,57587.25944,ZWE,19495519600.0
7,manicaland,1029,35634986336.0,-19.0,32.5,2019,50905,Storm,777.4,214.0,8456.6,103.0,3.0,22.0,0.0,0.0,180.0,Zimbabwe,2404100.03901964,1,67.46459831221864,36770.55407,56880.63391,57587.25944,ZWE,21832234925.5021
8,manicaland,1029,35634986336.0,-19.0,32.5,2021,328,Storm,1263.8,157.0,8123.3,150.0,2.0,28.0,0.0,0.0,203.0,Zimbabwe,2492482.999307953,2,69.94482825969092,36770.55407,56880.63391,57587.25944,ZWE,28371238665.5116
9,manicaland,1029,35634986336.0,-19.0,32.5,2021,80,Storm,1263.8,157.0,8123.3,150.0,2.0,28.0,0.0,0.0,203.0,Zimbabwe,2492482.999307953,2,69.94482825969092,36770.55407,56880.63391,57587.25944,ZWE,28371238665.5116
